planet,planet_mass_mjup,planet_radius_rjup,star_distance_AU,temp_calculated_K,star_name,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
2MASS J2250+2325 b,30.0,,518.0,,2MASS J2250+2325,,,0.15,
2MASS J2322-6151,18.0,1.5,,1740.0,,,,,
2MASS J2343-3646,34.0,1.22,,1755.0,,,,,
2MASSW J2208136+292121,10.0,,,,,,,,
2M J2126-81 b,13.3,,6900.0,1800.0,TYC 9486-927-1,0.4,,0.027,
38 Vir b,4.51,,1.82,,38 Vir,1.18,1.45,1.9,6557.0
3 Cnc b,20.76,,2.52,,3 Cnc,2.94,39.38,0.43,4319.0
41 Com b,6.3,,1.6,,41 Com,1.49,25.11,3.24,4181.0
44 Uma b,12.11,,2.16,,44 Uma,2.19,45.12,1.05,4215.0
47 Uma b,2.53,,2.1,,47 Uma,1.03,1.24,7.4,5892.0
47 Uma c,0.54,,3.6,,47 Uma,1.03,1.24,7.4,5892.0
47 Uma d,1.64,,11.6,,47 Uma,1.03,1.24,7.4,5892.0
4FGL J1408.6-2917 b,28.27,,0.006017,,4FGL J1408.6-2917,1.4,,,
4U 1543-62 b,28.8,0.3,0.001187,,4U 1543-62,1.4,,,
4U 1626-67 b,41.88,0.778,0.002037,,4U 1626-67,1.4,2e-05,,
51 Eri b,4.1,1.11,11.1,700.0,51 Eri,1.75,,0.02,
51 Peg b,0.47,1.9,0.052,,51 Peg,1.11,1.266,4.0,5793.0
54 Psc b,0.23,,0.295,,54 Psc,0.79,0.947,5.13,5173.0
54 Psc c,53.0,0.8,476.0,810.0,54 Psc,0.79,0.947,5.13,5173.0
59 Dra b,25.0,,0.22,,59 Dra,1.59,1.50485,,7137.0
59 Vir b,4.0,0.96,43.5,544.0,59 Vir,1.22,,0.16,6291.0
61 Vir b,0.016,,0.050201,,61 Vir,0.95,0.94,8.96,5531.0
61 Vir c,0.0573,,0.2175,,61 Vir,0.95,0.94,8.96,5531.0
61 Vir d,0.072,,0.476,,61 Vir,0.95,0.94,8.96,5531.0
6 Lyn b,2.01,,2.11,,6 Lyn,1.7,5.2,,4978.0
70 Vir b,6.6,,0.48,,70 Vir,0.92,1.968,7.09,5432.0
75 Cet b,0.0078,,1.912,,75 Cet,2.49,10.5,,4846.0
75 Cet c,0.91,,3.929,,75 Cet,2.49,10.5,,4846.0
78 Psc b,31.0,,18.6,,78 Psc,1.397,,,
