planet,planet_mass_mjup,planet_radius_rjup,planet_temperature_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
TOI-1288 b,42,0.4675,1266,TOI-1288,0.0429,0.89,1.01,,5225
TOI-1288 c,0.2665,,,TOI-1288,,0.89,1.01,,5225
TOI-128 b,,0.1981,1344,TOI-128,0.054,0.85,1.13,,6060
TOI-1296 b,0.298,1.231,1562,TOI-1296,0.0497,1.17,1.664,6.9,5603
TOI-1298 b,0.356,0.841,1388,TOI-1298,0.059,1.44,1.412,1.6,5889
TOI-132 b,0.07183,0.306,1384,TOI-132,0.026,0.97,0.9,6.34,5397
TOI-1333 b,2.37,1.396,1679,TOI-1333,0.0626,1.464,1.925,2.33,6274
TOI-1338 b,0.069,0.5986,724,TOI-1338,0.4607,,3.1,,5723
TOI-1338 c,0.2051,,,TOI-1338,0.794,,3.1,,5723
TOI-1347 b,0.0384,0.161,1400,TOI-1347,0.0171,0.913,0.83,1.7,5464
TOI-1347 c,0.0088,0.143,1000,TOI-1347,,0.913,0.83,1.7,5464
TOI-1386 b,0.148,0.54,676,TOI-1386,0.1732,,,,
TOI-1386 c,0.31,,327,TOI-1386,0.739,,,,
TOI-139 b,6.6119,0.2192,561,TOI-139,,0.69,0.7,,4405
TOI-1406 b,46,0.86,,TOI-1406,,1.18,1.35,,6290
TOI-1408 b,1.69,1.5,,TOI-1408,0.058,1.375,1.485,,6594
TOI-1410 b,0.03338,0.289359,1181,TOI-1410,0.02,0.71,0.78,,4507
TOI-1411 b,0.0079,0.1213,1136,TOI-1411,0.023,0.59,0.66,,4266
TOI-1416 b,0.01095,0.1445,1517,TOI-1416,0.019,0.798,0.793,,4884
TOI-1416 c,0.068,,510,TOI-1416,0.1734,0.798,0.793,,4884
TOI-1420 b,0.079,1.0608,957,TOI-1420,0.071,0.987,0.923,10.7,5493
TOI-1422 b,0.028,0.3533,867,TOI-1422,0.108,0.981,1.019,5.1,5840
TOI-1422 c,0.0349,,881,TOI-1422,0.185,0.981,1.019,5.1,5840
TOI-1430 b,0.022,0.187,813,TOI-1430,0.0705,0.843,0.789,,5037
TOI-1431 b,3.14,1.508,2370,TOI-1431,0.047,1.9,1.92,0.29,7690
TOI-1437 b,0.0302,0.1998,,TOI-1437,0.14,1.1,,,6008
TOI-1439 b,0.1211,0.3256,,TOI-1439,0.192,1,1.62,,5873
TOI-1442 b,0.005,0.1044,1072,TOI-1442,0.0071,0.29,0.31,,3330
TOI-1443 b,0.094,0.196,582,TOI-1443,0.147,0.89,0.75,,5236
TOI-1444 b,0.01218,0.12463,,TOI-1444,,0.934,0.907,,5430
TOI-1444 c,11.8,,,TOI-1444,,0.934,0.907,,5430
TOI-1448 b,0.0614,0.2453,389,TOI-1448,0.0567,0.37,0.38,,3412
TOI-1450A b,0.00396,0.1008,722,TOI-1450A,,0.47,0.474,,3437
TOI-1450A c,0.00481,,533,TOI-1450A,,0.47,0.474,,3437
TOI-1452 b,0.01517,0.14917,300,TOI-1452,0.061,0.249,0.275,,3185
TOI-1467 b,0.028,0.1633,526,TOI-1467,0.0495,0.49,0.49,,3834
TOI-1468 b,0.0101,0.1142,682.2,TOI-1468,0.0208,0.339,0.344,,3496
TOI-1468 c,0.02089,0.18414,337.5,TOI-1468,0.0849,0.339,0.344,,3496
TOI-1470 b,0.02303,0.1945,640,TOI-1470,0.0285,0.471,0.469,1.3,3709
TOI-1470 c,0.02278,0.2204,330,TOI-1470,0.106,0.471,0.469,1.3,3709
TOI-1471 b,0.031,0.348,663,TOI-1471,0.1438,1.022,0.9662,,5609
TOI-1471 c,0.0576,0.29824,487,TOI-1471,0.2669,1.022,0.9662,,5609
TOI-1472 b,0.0519,0.3711,,TOI-1472,0.065,0.86,0.86,,5100
TOI-1473 b,0.034,0.2186,1194,TOI-1473,,1.09,0.99,,5958
TOI-1478 b,0.847,1.06,918,TOI-1478,0.0903,0.946,1.05,9.2,5595
TOI-150 b,2.51,1.255,1404,TOI-150,0.0643,1.249,1.551,2.346,6029
TOI-1516 b,3.16,1.36,,TOI-1516,,1.085,1.245,4.82,6420
TOI-1518 b,2.3,1.875,2892,TOI-1518,0.039,1.79,1.95,,7300
TOI-157 b,1.18,1.286,1588,TOI-157,0.0318,0.948,1.167,12.82,5404
TOI-1601 b,0.99,1.239,1619,TOI-1601,0.06864,1.517,2.186,2.64,5948
