planet,planet_mass_mjup,planet_radius_rjup,planet_temperature_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K,has_missing_data,planet_mass_mearth,planet_radius_rearth,planet_mass_kg,planet_radius_m,Luminosity_Lsun,Flux_inner_HZ_boundary,Flux_outer_HZ_boundary,HZ_inner_boundary_AU,HZ_outer_boundary_AU,HZ_middle_AU,HZ_subindex,escape_velocity,thermal_velocity,jeans_parameter,jeans_parameter_norm,water_subindex,planet_temperature_C,temperature_subindex,star_distance_m,radiation_I,relative_r,C12_stability_temperature,C12_stability_radiation,C12_stability_subindex,pre_seq_GY,main_seq_GY,main_seq_end_GY,mid_main_seq_GY,star_age_subindex,PO_HUI,HUI,density,ESI_r,ESI_d,ESI_ev,ESI_t,ESI,star_distance_AU_adj,PHI_substrate_subindex,PHI_energy_light,PHI_energy_temperature,PHI_energy_subindex,PHI_chemistry_subindex,PHI_liquid_medium_subindex,PHI
2MASS J1315-2649 b,28.0,0.91,670.0,2MASS J1315-2649,6.6,0.084,0.9,1770.0,670.0,False,8898.4,10.192,5.314302448e+28,65005972.304,0.00013409279086740538,1.17149591,0.22544056910000002,0.0106987324397712,0.020730300836065182,0.015714516637918192,0.09993420716661784,330521.87764846144,772.5261578199984,91525.906644299,0.09999646832313355,0.07281718247348455,397.0,0.09589583333333333,987360000000.0,1.0945724367781223e-29,3.0812698686616386e-06,0.0966,3.851587335873541e-07,0.048300192579366796,4.889920346813733,4889.920346813734,4894.8102671605475,2444.960173406867,0.7510464482305912,0.21359877275667874,0.15178373581063648,46.184674019303664,10.192,8.407733826089967,29.552820118282042,670.0,0.15780707057289833,0.07642697148379084,1.0,2,0,0.6666666666666666,0.0,0.0,0.0028574404296987997
54 Psc c,53.0,0.8,810.0,54 Psc,476.0,0.947,5.13,5173.0,810.0,False,16843.4,8.959999999999999,1.0059215348e+29,57148107.519999996,0.8219774898876598,1.15023159,0.22372222590000002,0.8453514788664795,1.6292747316045646,1.237313105235522,0.09525551974113601,484992.2882613002,849.411823064225,163005.80356561634,0.09999355077036624,0.07102002149701193,537.0,0.09297916666666667,71209600000000.0,1.289950270403635e-29,3.6312671201242305e-06,0.09380000000000001,4.5390839001346883e-07,0.04690022695419501,0.01145842832520754,11.458428325207539,11.469886753532746,5.729214162603769,0.09913972853576514,0.08105893267895495,0.0745808211498028,128.66781823564705,8.959999999999999,23.423457904171556,43.36442100508839,810.0,0.09627869285596857,431.5557574042854,1.0,0,0,0.0,0.0,0.0,0.0001778279410038923
AF Lep b,2.8,1.33,1800.0,AF Lep,8.2,1.25,0.024,6130.0,1800.0,False,889.84,14.895999999999999,5.314302448000001e+27,95008728.75199999,2.232934823863898,1.046736,0.21226356,1.4605601358237301,2.7568886615722024,2.1087243986979662,0.09994555387642565,86455.98974274163,1266.2283848424206,2330.966803718843,0.6110914631176683,0.19513075892420723,1527.0,0.07235416666666668,1226720000000.0,1.1807971356600967e-25,0.033239962133716196,0.07400000000000001,0.00415499526671452,0.039077497633357265,0.005724334022399462,5.7243340223994625,5.730058356421862,2.8621670111997313,0.09897927859507072,0.1010974511391455,0.08781116364230332,1.4793370581777254,14.895999999999999,0.26930735115788984,7.73025474499078,1800.0,0.07583888174716327,12.253266403559849,0.5,0,0,0.0,0.0,0.5,0.00223606797749979
AU Mic b,0.116,0.4571,569.5,AU Mic,0.08305,0.75,0.022,3700.0,569.5,False,36.8648,5.11952,2.2016395856000003e+26,32652999.93424,0.35499362023883657,1.187773387475,0.22668905542475,0.5466929568749666,1.063687176137903,0.8051900665064348,0.01519134259104682,30016.861109746536,712.2339256443137,888.0864479364978,0.8873877014589685,0.27091403824134647,296.5,0.09798958333333334,12424280000.0,1.830072198752663e-22,51.51734260813466,0.09861,0.09999534824248041,0.0993026741212402,0.02052800957118669,20.528009571186693,20.54853758075788,10.264004785593347,0.09938673708683676,0.11655687507476072,0.10413885330531052,1.5096919997372689,5.11952,0.27483334596804015,2.683885566677328,569.5,0.3512058881928355,0.04948230374949592,0.5,2,0,0.6666666666666666,0.0,0.5,0.03593041119630842
AU Mic c,0.101,0.28,436.0,AU Mic,0.1417,0.75,0.022,3700.0,436.0,False,32.09780000000001,3.136,1.9169448116000003e+26,20001837.632,0.35499362023883657,1.2107046224000002,0.228366829424,0.5414909141326445,1.059772604505458,0.8006317593190513,0.02616849079120262,35786.85741606618,623.1879352014488,1648.842057135818,0.7417110954420774,0.23520493734698616,163.0,0.2799999999999999,21198320000.0,6.286483740703416e-23,17.696730046553558,0.3716981132075472,0.09999873032064695,0.23584842176409707,0.02052800957118669,20.528009571186693,20.54853758075788,10.264004785593347,0.09938673708683676,0.17532171739782448,0.1778840619222315,5.71888426945392,3.1359999999999997,1.041099839736543,3.19979593284431,436.0,0.5724535684584171,0.0844267602805969,1.0,2,0,0.6666666666666666,0.5,0.5,0.6389431042462724
BD+20 594 b,0.07,0.23,386.0,BD+20 594,0.241,1.08,3.34,5766.0,386.0,False,22.246000000000002,2.576,1.3285756120000002e+26,16430080.912,1.319245191060752,1.2196775324,0.22900088852400002,1.040016544285885,2.0401547080422455,1.5400856261640654,0.02317270829239354,32872.0655096127,586.3668971424939,1571.3940437325166,0.7565415660937734,0.2706074677925709,113.0,0.5232432432432432,36053600000.0,8.076410477513476e-23,22.73545305467062,0.5839622641509434,0.09999822644582677,0.3419802452983851,0.008249746644799178,8.249746644799178,8.257996391443976,4.124873322399589,0.0990403631249355,0.2516088055503057,0.2674554388722416,7.1511940053835525,2.576,1.3018460563533412,2.939176812843843,386.0,0.6324130879891003,0.2768087425317335,1.0,2,1,1.0,0.5,0.5,0.7071067811865476
BD+60 1417 b,15.0,1.31,1303.0,BD+60 1417,1662.0,0.797,0.1,4993.0,1303.0,False,4767.0,14.671999999999999,2.84694774e+28,93580026.064,0.4418246651919271,1.0884264971000002,0.21786437377100001,0.6371261427868073,1.210460982575264,0.9237935626810356,0.08339009404551755,201628.47874374862,1077.3281307430539,17513.693741216197,0.09999948923594779,0.06990757958973964,1030.0,0.08270833333333334,248635200000000.0,5.687414318877484e-31,1.6010323101991542e-07,0.08394,2.001290387576571e-08,0.04197001000645194,0.017634136431417945,17.634136431417947,17.651770567849365,8.817068215708973,0.09917075089890319,0.07542935357478914,0.06845268167524363,8.293567818540424,14.671999999999999,1.5098106063879246,18.02812632383276,1303.0,0.11467229971148878,1104.7296187205309,1.0,0,0,0.0,0.0,0.0,0.0001778279410038923
beta Pic c,8.89,1.2,1250.0,beta Pic,2.68,1.8,0.04,8052.0,1250.0,False,2825.242,13.44,1.68729102724e+28,85722161.28,8.29814498173977,1.09409375,0.2184796875,2.753995590860737,5.2384632551549135,3.9962294230078252,0.09731315507162414,162181.81232869005,1055.1903207020173,11811.708084484491,0.0999997219705312,0.070249934767843,977.0,0.08381250000000001,400928000000.0,4.108075146071966e-24,1.1564413409722276,0.085,0.9648006982812488,0.5249003491406244,0.0023004814583331167,2.300481458333117,2.30278193979145,1.1502407291665584,0.09865837864788761,0.17498686352559584,0.188070927530985,6.394727626079116,13.44,1.1641343998215796,14.501097356419018,1250.0,0.1311739329465399,7.72014226014312,1.0,1,0,0.3333333333333333,0.5,0.0,0.03593041119630842
CFHTWIR-Oph 98 b,7.8,1.86,1800.0,CFHTWIR-Oph 98,200.0,0.24,0.003,2320.0,1800.0,False,2478.84,20.832,1.4804128248000002e+28,132869349.984,0.005871654192632469,1.046736,0.21226356,0.07489652268033493,0.141371360962244,0.10813394182128946,0.09800138545892385,122020.47772720267,1266.2283848424206,4643.135488052857,0.16833575760689978,0.0844276371234983,1527.0,0.07235416666666668,29920000000000.0,5.219482282989203e-31,1.4693073704584757e-07,0.07400000000000001,1.8366342127706936e-08,0.03700000918317107,0.3543821965832144,354.3821965832144,354.73657877979764,177.1910982916072,0.09967226232889632,0.07829109215223125,0.06984848735141283,1.5066757498210046,20.832,0.2742842498233252,10.910168049009469,1800.0,0.06891621353994942,15.325343966948957,0.5,0,0,0.0,0.0,0.0,0.00014953487812212208
COCONUTS-2 b,6.4,1.12,434.0,COCONUTS-2A,6471.0,0.388,0.475,3406.0,434.0,False,2033.92,12.544,1.2146977024e+28,80007350.528,0.0330974254135622,1.2110595164000002,0.228392132364,0.16531579986164463,0.32357537423993515,0.2444455870507899,0.035291141934445894,142437.01619891202,621.756962164478,26240.640120863867,0.09999913303332779,0.07470721654862499,161.0,0.28972972972972966,968061600000000.0,2.8104661662641713e-33,7.911586683557414e-10,0.380188679245283,9.889483676417399e-11,0.1900943396720889,0.10664013495521833,106.64013495521831,106.74677509017353,53.32006747760916,0.09945002661603983,0.13785449090018587,0.14605708142622106,5.6622616529246725,12.543999999999999,1.0307919205312306,12.735663817051014,434.0,0.39494297257886973,1177.2494762270496,1.0,0,0,0.0,0.5,0.0,0.0026591479484724943
CoRoT-22 b,0.06,0.4354,885.0,CoRoT-22,0.092,1.136,3.3,5939.0,885.0,False,19.068,4.87648,1.1387790960000002e+26,31102857.51776,1.5825665898993715,1.1395156275,0.22281166627500001,1.1784763019763393,2.265327300760236,1.7219018013682876,0.007806690711193193,22119.398077476395,887.8660044936307,310.3285686537392,0.9980221889811989,0.29686303047256685,612.0,0.09141666666666667,13763200000.0,6.648341006706645e-22,187.15374270570356,0.09230000000000001,0.0999817845346521,0.09614089226732606,0.0072703307976235655,7.270330797623565,7.277601128421188,3.6351653988117825,0.0990113676087344,0.11824772954529743,0.1043445909320855,0.903545452627622,4.87648,0.16448680924524506,1.9777528711838857,885.0,0.2115025098491185,0.11573609470216403,0.0,2,0,0.6666666666666666,0.0,0.5,0.002402811414134754
CoRoT-24 b,0.018,0.33,1070.0,CoRoT-24,0.056,0.86,11.0,4950.0,1070.0,False,5.7204,3.6959999999999997,3.416337288e+25,23573594.351999998,0.5810244717041653,1.1150983100000003,0.2205953931,0.7218394832054759,1.3794879739093195,1.0506637285573976,0.0077579574549345165,13916.216427682677,976.2649131486603,101.59608923600392,0.10718240156201764,0.07315084451098824,797.0,0.0875625,8377600000.0,6.58787453313148e-22,185.45158470472379,0.08860000000000001,0.0999819547513033,0.09429097737565165,0.014579877393650409,14.57987739365041,14.59445727104406,7.289938696825205,0.0991774124008459,0.07238793834848407,0.06827863908153588,0.6225793528925742,3.6959999999999997,0.11333806280742088,1.244285079524454,1070.0,0.17136006220613031,0.04268597829808124,0.0,2,0,0.6666666666666666,0.0,0.0,0.00016068568378893036
