planet,planet_mass_mjup,planet_radius_rjup,temp_calculated_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
TOI-1470 c,0.02278,0.2204,330,TOI-1470,0.106,0.469,1.3,3709,330
TOI-1478 b,0.847,1.06,918,TOI-1478,0.0903,1.05,9.2,5595,918
TOI-150 b,2.51,1.255,1404,TOI-150,0.0643,1.551,2.346,6029,1404
TOI-157 b,1.18,1.286,1588,TOI-157,0.0318,1.167,12.82,5404,1588
TOI-1601 b,0.99,1.239,1619,TOI-1601,0.06864,2.186,2.64,5948,1619
TOI-163 b,1.22,1.489,1669,TOI-163,0.058,1.648,1.823,6495,1669
TOI-1670 b,0.0434,0.1838,1062,TOI-1670,0.103,1.316,2.53,6170,1062
TOI-1670 c,0.58,0.97,684,TOI-1670,0.249,1.316,2.53,6170,684
TOI-1685 b,0.00988,0.157,980,TOI-1685,0.012,0.492,1.3,3434,980
TOI-169 b,0.791,1.086,1715,TOI-169,0.03524,1.288,4.7,5880,1715
TOI-1710 b,0.0579,0.4595,730,TOI-1710,0.164,0.968,4.2,5665,730
TOI-172 b,5.41,0.965,1198,TOI-172,0.0913,1.774,7.5,5644,1198
TOI-1728 b,0.08426,0.4505,767,TOI-1728,0.0391,0.6243,7.1,3980,767
TOI-1739 b,0.013,0.15122,756,TOI-1739,0.0742,0.751,6.3,4922,756
TOI-1759 b,0.0214,0.273,433,TOI-1759,0.1176,0.6,5,4036,433
TOI-178 b,0.00472,0.10278,1040,TOI-178,0.02607,0.651,7.1,4316,1040
TOI-178 c,0.01501,0.1489,873,TOI-178,0.037,0.651,7.1,4316,873
TOI-178 d,0.00947,0.22946,690,TOI-178,0.0592,0.651,7.1,4316,690
TOI-178 e,0.01214,0.1969,600,TOI-178,0.0783,0.651,7.1,4316,600
TOI-178 f,0.02429,0.20403,521,TOI-178,0.1039,0.651,7.1,4316,521
TOI-178 g,0.0124,0.256,470,TOI-178,0.1275,0.651,7.1,4316,470
TOI-1789 b,0.7,1.4,1929,TOI-1789,0.04873,2.172,2.81,5984,1929
TOI-179 b,0.0758,0.2436,935,TOI-179,0.0476,0.798,0.3,5083,935
TOI-1807 b,0.00809,0.1222,1499,TOI-1807,0.012,0.68,0.18,4757,1499
TOI-1811 b,0.974,1,961,TOI-1811,0.04393,0.773,6,4673,961
TOI-1820 b,2.3,1.12,1295,TOI-1820,0.069,1.51,11,5734,1295
TOI-1899 b,0.67,0.99,378,TOI-1899,0.1525,0.607,7.4,3841,378
TOI-1937 b,2.01,1.247,2097,TOI-1937,0.01932,1.08,3.6,5814,2097
TOI-1994 b,22.1,1.22,2290,TOI-1994,0.0613,2.3,0.94,7700,2290
TOI-2000 b,0.0324,0.2355,1475,TOI-2000,0.0426,1.113,5.1,5607,1475
TOI-2000 c,0.2382,0.711,1029,TOI-2000,0.0875,1.113,5.1,5607,1029
TOI-201 b,0.42,1,759,TOI-201,0.3,1.317,0.87,6394,759
TOI-2015 b,0.0418,0.3024,360,TOI-2015,0.03,0.333,6.8,3194,360
TOI-2025 b,4.4,1.12,1186,TOI-2025,0.089,1.56,1.7,5880,1186
TOI-2068 b,0.0138,0.1624,521,TOI-2068,0.0632,0.535,7,3710,521
